Family Type,Adult(s),Infant(s),Preshooler(s),Schoolager(s),Teenager(s),State ,Year,All Families Table #,County,Housing Costs,Child Care Costs,Food Costs ,Transportation Costs,Health Care Costs ,Miscellaneous costs,Taxes,Earned Income Tax Credit (-),Child Care Tax Credit (-),Child Tax Credit (-),Hourly Self-Sufficiency Wage                           ,Monthly Self-Sufficiency Wage                           ,Annual Self-Sufficiency Wage                           ,Emergency Savings
a2i2p2s1t1,2,2,2,1,1,VA,2021,26,Chesterfield County,2001.09,4766.17,1378.55,576.13,890.37,961.23,3286.71,0,-100,-1000,36.25,12760.25,153122.96,190.05
a2i2p2s0t2,2,2,2,0,2,VA,2021,26,Chesterfield County,2001.09,4222.97,1400.09,576.13,910.81,911.11,2981.03,0,-100,-1000,33.82,11903.23,142838.74,180.47
a2i2p1s3t0,2,2,1,3,0,VA,2021,26,Chesterfield County,2001.09,4839.54,1422.15,576.13,892.11,973.1,3361,0,-100,-1000,36.83,12965.13,155581.56,193.46
a2i2p1s2t1,2,2,1,2,1,VA,2021,26,Chesterfield County,2001.09,4296.34,1443.7,576.13,912.55,922.98,3055.32,0,-100,-1000,34.4,12108.11,145297.34,182.5
a2i2p1s1t2,2,2,1,1,2,VA,2021,26,Chesterfield County,2001.09,3753.14,1465.24,576.13,932.99,872.86,2749.64,0,-100,-1000,31.96,11251.09,135013.11,174
a2i2p1s0t3,2,2,1,0,3,VA,2021,26,Chesterfield County,2001.09,3209.94,1486.78,576.13,953.43,822.74,2443.96,0,-100,-1000,29.53,10394.07,124728.89,165.49
a2i2p0s4t0,2,2,0,4,0,VA,2021,26,Chesterfield County,2001.09,4369.71,1487.3,576.13,914.3,934.85,3129.61,0,-100,-1000,34.98,12312.99,147755.93,184.54
a2i2p0s3t1,2,2,0,3,1,VA,2021,26,Chesterfield County,2001.09,3826.51,1508.84,576.13,934.73,884.73,2823.93,0,-100,-1000,32.55,11455.98,137471.71,176.03
a2i2p0s2t2,2,2,0,2,2,VA,2021,26,Chesterfield County,2001.09,3283.31,1530.39,576.13,955.17,834.61,2518.25,0,-100,-1000,30.11,10598.96,127187.48,167.52
a2i2p0s1t3,2,2,0,1,3,VA,2021,26,Chesterfield County,2001.09,2740.11,1551.93,576.13,975.61,784.49,2212.58,0,-100,-1000,27.68,9741.94,116903.26,159.02
a2i2p0s0t4,2,2,0,0,4,VA,2021,26,Chesterfield County,2001.09,2196.91,1573.47,576.13,996.05,734.37,1906.9,0,-100,-1000,25.24,8884.92,106619.04,150.51
a2i1p5s0t0,2,1,5,0,0,VA,2021,26,Chesterfield County,2001.09,6163.6,1232.68,576.13,814.19,1078.77,3999.85,0,-100,-1000,41.95,14766.3,177195.64,230.58
a2i1p4s1t0,2,1,4,1,0,VA,2021,26,Chesterfield County,2001.09,5693.77,1297.83,576.13,836.37,1040.52,3768.46,0,-100,-1000,40.1,14114.17,169370.01,212.58
a2i1p4s0t1,2,1,4,0,1,VA,2021,26,Chesterfield County,2001.09,5150.57,1319.37,576.13,856.81,990.4,3462.78,0,-100,-1000,37.66,13257.15,159085.78,198.32
a2i1p3s2t0,2,1,3,2,0,VA,2021,26,Chesterfield County,2001.09,5223.94,1362.98,576.13,858.55,1002.27,3537.07,0,-100,-1000,38.24,13462.03,161544.38,201.73
a2i1p3s1t1,2,1,3,1,1,VA,2021,26,Chesterfield County,2001.09,4680.74,1384.52,576.13,878.99,952.15,3231.39,0,-100,-1000,35.81,12605.01,151260.16,187.47
a2i1p3s0t2,2,1,3,0,2,VA,2021,26,Chesterfield County,2001.09,4137.54,1406.06,576.13,899.43,902.03,2925.71,0,-100,-1000,33.38,11747.99,140975.93,178.93
a2i1p2s3t0,2,1,2,3,0,VA,2021,26,Chesterfield County,2001.09,4754.11,1428.13,576.13,880.73,964.02,3305.68,0,-100,-1000,36.39,12809.9,153718.75,190.88
a2i1p2s2t1,2,1,2,2,1,VA,2021,26,Chesterfield County,2001.09,4210.91,1449.67,576.13,901.17,913.9,3000,0,-100,-1000,33.96,11952.88,143434.53,180.96
a2i1p2s1t2,2,1,2,1,2,VA,2021,26,Chesterfield County,2001.09,3667.71,1471.21,576.13,921.61,863.78,2694.33,0,-100,-1000,31.52,11095.86,133150.3,172.46
a2i1p2s0t3,2,1,2,0,3,VA,2021,26,Chesterfield County,2001.09,3124.51,1492.76,576.13,942.05,813.65,2388.65,0,-100,-1000,29.09,10238.84,122866.08,163.95
a2i1p1s4t0,2,1,1,4,0,VA,2021,26,Chesterfield County,2001.09,4284.29,1493.27,576.13,902.91,925.77,3074.29,0,-100,-1000,34.54,12157.76,145893.12,183
a2i1p1s3t1,2,1,1,3,1,VA,2021,26,Chesterfield County,2001.09,3741.09,1514.82,576.13,923.35,875.65,2768.62,0,-100,-1000,32.1,11300.74,135608.9,174.49
a2i1p1s2t2,2,1,1,2,2,VA,2021,26,Chesterfield County,2001.09,3197.88,1536.36,576.13,943.79,825.53,2462.94,0,-100,-1000,29.67,10443.72,125324.68,165.98
a2i1p1s1t3,2,1,1,1,3,VA,2021,26,Chesterfield County,2001.09,2654.68,1557.9,576.13,964.23,775.4,2157.26,0,-100,-1000,27.24,9586.7,115040.45,157.48
a2i1p1s0t4,2,1,1,0,4,VA,2021,26,Chesterfield County,2001.09,2111.48,1579.45,576.13,984.67,725.28,1867.15,0,-100,-1000,24.84,8745.26,104943.06,148.87
a2i1p0s5t0,2,1,0,5,0,VA,2021,26,Chesterfield County,2001.09,3814.46,1558.42,576.13,925.1,887.52,2842.9,0,-100,-1000,32.69,11505.62,138067.49,176.52
a2i1p0s4t1,2,1,0,4,1,VA,2021,26,Chesterfield County,2001.09,3271.26,1579.96,576.13,945.54,837.4,2537.23,0,-100,-1000,30.25,10648.61,127783.27,168.02
a2i1p0s3t2,2,1,0,3,2,VA,2021,26,Chesterfield County,2001.09,2728.06,1601.51,576.13,965.97,787.28,2231.55,0,-100,-1000,27.82,9791.59,117499.05,159.51
a2i1p0s2t3,2,1,0,2,3,VA,2021,26,Chesterfield County,2001.09,2184.86,1623.05,576.13,986.41,737.15,1925.87,0,-100,-1000,25.38,8934.57,107214.82,151
a2i1p0s1t4,2,1,0,1,4,VA,2021,26,Chesterfield County,2001.09,1641.66,1644.6,576.13,1006.85,687.03,1723.18,0,-100,-1000,23.24,8180.54,98166.45,141.81
a2i1p0s0t5,2,1,0,0,5,VA,2021,26,Chesterfield County,2001.09,1098.45,1666.14,576.13,1027.29,636.91,1532.38,0,-100,-1000,21.13,7438.4,89260.81,132.53
a2i0p6s0t0,2,0,6,0,0,VA,2021,26,Chesterfield County,2001.09,6078.17,1238.66,576.13,802.8,1069.69,3944.53,0,-100,-1000,41.51,14611.07,175332.83,223.43
a2i0p5s1t0,2,0,5,1,0,VA,2021,26,Chesterfield County,2001.09,5608.34,1303.8,576.13,824.99,1031.44,3713.14,0,-100,-1000,39.66,13958.93,167507.2,210
a2i0p5s0t1,2,0,5,0,1,VA,2021,26,Chesterfield County,2001.09,5065.14,1325.35,576.13,845.43,981.31,3407.46,0,-100,-1000,37.22,13101.91,157222.98,195.74
a2i0p4s2t0,2,0,4,2,0,VA,2021,26,Chesterfield County,2001.09,5138.51,1368.95,576.13,847.17,993.19,3481.75,0,-100,-1000,37.8,13306.8,159681.57,199.15
a2i0p4s1t1,2,0,4,1,1,VA,2021,26,Chesterfield County,2001.09,4595.31,1390.49,576.13,867.61,943.06,3176.08,0,-100,-1000,35.37,12449.78,149397.35,185.89
a2i0p4s0t2,2,0,4,0,2,VA,2021,26,Chesterfield County,2001.09,4052.11,1412.04,576.13,888.05,892.94,2870.4,0,-100,-1000,32.93,11592.76,139113.12,177.39
a2i0p3s3t0,2,0,3,3,0,VA,2021,26,Chesterfield County,2001.09,4668.69,1434.1,576.13,869.35,954.94,3250.37,0,-100,-1000,35.95,12654.66,151855.94,188.3
a2i0p3s2t1,2,0,3,2,1,VA,2021,26,Chesterfield County,2001.09,4125.49,1455.64,576.13,889.79,904.81,2944.69,0,-100,-1000,33.52,11797.64,141571.72,179.42
a2i0p3s1t2,2,0,3,1,2,VA,2021,26,Chesterfield County,2001.09,3582.29,1477.19,576.13,910.23,854.69,2639.01,0,-100,-1000,31.08,10940.62,131287.5,170.92
a2i0p3s0t3,2,0,3,0,3,VA,2021,26,Chesterfield County,2001.09,3039.08,1498.73,576.13,930.67,804.57,2333.33,0,-100,-1000,28.65,10083.61,121003.27,162.41
a2i0p2s4t0,2,0,2,4,0,VA,2021,26,Chesterfield County,2001.09,4198.86,1499.25,576.13,891.53,916.69,3018.98,0,-100,-1000,34.1,12002.53,144030.31,181.46
a2i0p2s3t1,2,0,2,3,1,VA,2021,26,Chesterfield County,2001.09,3655.66,1520.79,576.13,911.97,866.56,2713.3,0,-100,-1000,31.66,11145.51,133746.09,172.95
a2i0p2s2t2,2,0,2,2,2,VA,2021,26,Chesterfield County,2001.09,3112.46,1542.33,576.13,932.41,816.44,2407.62,0,-100,-1000,29.23,10288.49,123461.87,164.44
a2i0p2s1t3,2,0,2,1,3,VA,2021,26,Chesterfield County,2001.09,2569.26,1563.88,576.13,952.85,766.32,2101.94,0,-100,-1000,26.79,9431.47,113177.64,155.94
a2i0p2s0t4,2,0,2,0,4,VA,2021,26,Chesterfield County,2001.09,2026.06,1585.42,576.13,973.29,716.2,1832.64,0,-100,-1000,24.46,8610.83,103329.96,147.19
a2i0p1s5t0,2,0,1,5,0,VA,2021,26,Chesterfield County,2001.09,3729.03,1564.4,576.13,913.71,878.44,2787.59,0,-100,-1000,32.25,11350.39,136204.68,174.98
a2i0p1s4t1,2,0,1,4,1,VA,2021,26,Chesterfield County,2001.09,3185.83,1585.94,576.13,934.15,828.31,2481.91,0,-100,-1000,29.81,10493.37,125920.46,166.48
a2i0p1s3t2,2,0,1,3,2,VA,2021,26,Chesterfield County,2001.09,2642.63,1607.48,576.13,954.59,778.19,2176.23,0,-100,-1000,27.38,9636.35,115636.24,157.97
a2i0p1s2t3,2,0,1,2,3,VA,2021,26,Chesterfield County,2001.09,2099.43,1629.03,576.13,975.03,728.07,1879.47,0,-100,-1000,24.97,8788.25,105458.98,149.4
a2i0p1s1t4,2,0,1,1,4,VA,2021,26,Chesterfield County,2001.09,1556.23,1650.57,576.13,995.47,677.95,1688.67,0,-100,-1000,22.86,8046.11,96553.34,140.13
a2i0p1s0t5,2,0,1,0,5,VA,2021,26,Chesterfield County,2001.09,1013.03,1672.11,576.13,1015.91,627.83,1497.88,0,-100,-1000,20.75,7303.98,87647.7,124.89
a2i0p0s6t0,2,0,0,6,0,VA,2021,26,Chesterfield County,2001.09,3259.21,1629.54,576.13,935.9,840.19,2556.2,0,-100,-1000,30.39,10698.25,128379.05,168.51
a2i0p0s5t1,2,0,0,5,1,VA,2021,26,Chesterfield County,2001.09,2716,1651.09,576.13,956.34,790.06,2250.52,0,-100,-1000,27.96,9841.24,118094.83,160
a2i0p0s4t2,2,0,0,4,2,VA,2021,26,Chesterfield County,2001.09,2172.8,1672.63,576.13,976.77,739.94,1944.84,0,-100,-1000,25.52,8984.22,107810.61,151.5
a2i0p0s3t3,2,0,0,3,3,VA,2021,26,Chesterfield County,2001.09,1629.6,1694.17,576.13,997.21,689.82,1735.5,0,-100,-1000,23.36,8223.53,98682.37,142.34
a2i0p0s2t4,2,0,0,2,4,VA,2021,26,Chesterfield County,2001.09,1086.4,1715.72,576.13,1017.65,639.7,1544.7,0,-100,-1000,21.25,7481.39,89776.73,133.07
a2i0p0s1t5,2,0,0,1,5,VA,2021,26,Chesterfield County,2001.09,543.2,1737.26,576.13,1038.09,589.58,1353.91,0,-100,-1000,19.15,6739.26,80871.09,107.19
a2i0p0s0t6,2,0,0,0,6,VA,2021,26,Chesterfield County,2001.09,0,1758.8,567.68,1058.53,538.61,1232.47,0,0,-1000,17.49,6157.19,73886.24,98.02
a2c7,2,7,,,,VA,2021,26,Chesterfield County,2301.26,3942.11,1712.32,576.13,977.49,950.93,3138.41,0,-100,-1166.67,35.03,12331.98,147983.78,189.13
a2c8,2,8,,,,VA,2021,26,Chesterfield County,2301.26,4505.27,1895.45,576.13,1018.01,1029.61,3528.43,0,-100,-1333.33,38.13,13420.83,161049.92,209.86
a2c9,2,9,,,,VA,2021,26,Chesterfield County,2601.42,5068.43,2078.59,576.13,1058.53,1138.31,4102.01,0,-100,-1500,42.68,15023.41,180280.96,248.64
a2c10,2,10,,,,VA,2021,26,Chesterfield County,2601.42,5631.59,2261.73,576.13,1099.04,1216.99,4492.03,0,-100,-1666.67,45.77,16112.26,193347.1,271.89
a3i0p0s0t0,3,0,0,0,0,VA,2021,26,Chesterfield County,1265.53,0,781.19,567.68,767.49,338.19,796.02,0,0,-41.67,12.71,4474.43,53693.22,57.83
a3i1p0s0t0,3,1,0,0,0,VA,2021,26,Chesterfield County,1673.58,1098.45,887.04,576.13,797.02,503.22,1331.15,0,-50,-208.33,18.77,6608.26,79299.17,86.18
a3i0p1s0t0,3,0,1,0,0,VA,2021,26,Chesterfield County,1673.58,1013.03,893.67,576.13,785.64,494.21,1296.92,0,-50,-208.33,18.39,6474.84,77698.14,84.74
a3i0p0s1t0,3,0,0,1,0,VA,2021,26,Chesterfield County,1673.58,543.2,966.06,576.13,807.82,456.68,1155.96,0,-50,-208.33,16.82,5921.1,71053.17,78.74
a3i0p0s0t1,3,0,0,0,1,VA,2021,26,Chesterfield County,1673.58,0,990,567.68,828.26,405.95,999.23,0,0,-208.33,14.93,5256.36,63076.34,70.11
a3i2p0s0t0,3,2,0,0,0,VA,2021,26,Chesterfield County,1673.58,2196.91,978.58,576.13,826.56,625.18,1701.2,0,-100,-375,23.02,8103.13,97237.52,112.34
a3i1p1s0t0,3,1,1,0,0,VA,2021,26,Chesterfield County,1673.58,2111.48,984.88,576.13,815.18,616.13,1666.83,0,-100,-375,22.64,7969.2,95630.46,106.17
a3i1p0s1t0,3,1,0,1,0,VA,2021,26,Chesterfield County,1673.58,1641.66,1053.65,576.13,837.36,578.24,1524.36,0,-100,-375,21.05,7409.97,88919.66,100.11
a3i1p0s0t1,3,1,0,0,1,VA,2021,26,Chesterfield County,1673.58,1098.45,1076.39,576.13,857.8,528.24,1334.06,0,-100,-375,18.95,6669.65,80035.79,92.1
a3i0p2s0t0,3,0,2,0,0,VA,2021,26,Chesterfield County,1673.58,2026.06,991.19,576.13,803.79,607.08,1632.46,0,-100,-375,22.26,7835.28,94023.39,104.72
a3i0p1s1t0,3,0,1,1,0,VA,2021,26,Chesterfield County,1673.58,1556.23,1059.96,576.13,825.98,569.19,1489.99,0,-100,-375,20.67,7276.05,87312.6,98.66
a3i0p1s0t1,3,0,1,0,1,VA,2021,26,Chesterfield County,1673.58,1013.03,1082.7,576.13,846.41,519.18,1299.69,0,-100,-375,18.57,6535.73,78428.73,90.65
a3i0p0s2t0,3,0,0,2,0,VA,2021,26,Chesterfield County,1673.58,1086.4,1128.73,576.13,848.16,531.3,1347.52,0,-100,-375,19.08,6716.82,80601.81,92.61
a3i0p0s1t1,3,0,0,1,1,VA,2021,26,Chesterfield County,1673.58,543.2,1151.47,576.13,868.6,481.3,1157.23,0,-100,-375,16.98,5976.49,71717.93,84.6
a3i0p0s0t2,3,0,0,0,2,VA,2021,26,Chesterfield County,1673.58,0,1174.21,567.68,889.04,430.45,1036.29,0,0,-375,15.33,5396.24,64754.86,75.44
a3i3p0s0t0,3,3,0,0,0,VA,2021,26,Chesterfield County,2001.09,3295.36,1114.48,576.13,856.09,784.32,2466.45,0,-100,-541.67,29.69,10452.25,125427.02,153.92
a3i2p1s0t0,3,2,1,0,0,VA,2021,26,Chesterfield County,2001.09,3209.94,1120.78,576.13,844.71,775.27,2411.35,0,-100,-541.67,29.25,10297.6,123571.19,152.38
a3i2p0s1t0,3,2,0,1,0,VA,2021,26,Chesterfield County,2001.09,2740.11,1189.55,576.13,866.89,737.38,2182.31,0,-100,-541.67,27.42,9651.8,115821.57,145.97
a3i2p0s0t1,3,2,0,0,1,VA,2021,26,Chesterfield County,2001.09,2196.91,1212.29,576.13,887.33,687.38,1883.98,0,-100,-541.67,25.01,8803.44,105641.24,137.44
a3i1p2s0t0,3,1,2,0,0,VA,2021,26,Chesterfield County,2001.09,3124.51,1127.09,576.13,833.33,766.21,2356.25,0,-100,-541.67,28.82,10142.95,121715.35,150.85
a3i1p1s1t0,3,1,1,1,0,VA,2021,26,Chesterfield County,2001.09,2654.68,1195.85,576.13,855.51,728.33,2127.21,0,-100,-541.67,26.98,9497.14,113965.73,144.44
a3i1p1s0t1,3,1,1,0,1,VA,2021,26,Chesterfield County,2001.09,2111.48,1218.59,576.13,875.95,678.32,1849.61,0,-100,-541.67,24.63,8669.51,104034.18,135.77
a3i1p0s2t0,3,1,0,2,0,VA,2021,26,Chesterfield County,2001.09,2184.86,1264.62,576.13,877.69,690.44,1898.18,0,-100,-541.67,25.15,8851.34,106216.12,138.03
a3i1p0s1t1,3,1,0,1,1,VA,2021,26,Chesterfield County,2001.09,1641.66,1287.36,576.13,898.13,640.44,1707.14,0,-100,-541.67,23.04,8110.28,97323.39,128.78
a3i1p0s0t2,3,1,0,0,2,VA,2021,26,Chesterfield County,2001.09,1098.45,1310.1,576.13,918.57,590.43,1516.84,0,-100,-541.67,20.94,7369.96,88439.51,103.5
a3i0p3s0t0,3,0,3,0,0,VA,2021,26,Chesterfield County,2001.09,3039.08,1133.39,576.13,821.95,757.16,2301.15,0,-100,-541.67,28.38,9988.29,119859.51,149.31
a3i0p2s1t0,3,0,2,1,0,VA,2021,26,Chesterfield County,2001.09,2569.26,1202.16,576.13,844.13,719.28,2072.11,0,-100,-541.67,26.54,9342.49,112109.9,142.9
a3i0p2s0t1,3,0,2,0,1,VA,2021,26,Chesterfield County,2001.09,2026.06,1224.9,576.13,864.57,669.27,1815.24,0,-100,-541.67,24.25,8535.59,102427.11,134.09
a3i0p1s2t0,3,0,1,2,0,VA,2021,26,Chesterfield County,2001.09,2099.43,1270.93,576.13,866.31,681.39,1863.07,0,-100,-541.67,24.76,8716.68,104600.19,136.36
a3i0p1s1t1,3,0,1,1,1,VA,2021,26,Chesterfield County,2001.09,1556.23,1293.67,576.13,886.75,631.39,1672.77,0,-100,-541.67,22.66,7976.36,95716.32,127.1
a3i0p1s0t2,3,0,1,0,2,VA,2021,26,Chesterfield County,2001.09,1013.03,1316.41,576.13,907.19,581.38,1482.47,0,-100,-541.67,20.56,7236.04,86832.45,102.05
a3i0p0s3t0,3,0,0,3,0,VA,2021,26,Chesterfield County,2001.09,1629.6,1339.69,576.13,888.49,643.5,1720.6,0,-100,-541.67,23.17,8157.45,97889.4,129.37
a3i0p0s2t1,3,0,0,2,1,VA,2021,26,Chesterfield County,2001.09,1086.4,1362.43,576.13,908.93,593.5,1530.3,0,-100,-541.67,21.07,7417.13,89005.53,104.01
a3i0p0s1t2,3,0,0,1,2,VA,2021,26,Chesterfield County,2001.09,543.2,1385.17,576.13,929.37,543.5,1340.01,0,-100,-541.67,18.97,6676.8,80121.66,95.99
a3i0p0s0t3,3,0,0,0,3,VA,2021,26,Chesterfield County,2001.09,0,1407.91,567.68,949.81,492.65,1219.07,0,0,-541.67,17.32,6096.55,73158.58,86.84
a3i4p0s0t0,3,4,0,0,0,VA,2021,26,Chesterfield County,2001.09,4393.82,1184.56,576.13,885.63,904.12,3103.6,0,-100,-708.33,34.77,12240.61,146887.37,176.08
a3i3p1s0t0,3,3,1,0,0,VA,2021,26,Chesterfield County,2001.09,4308.39,1190.54,576.13,874.24,895.04,3048.28,0,-100,-708.33,34.33,12085.38,145024.56,174.53
a3i3p0s1t0,3,3,0,1,0,VA,2021,26,Chesterfield County,2001.09,3838.56,1255.68,576.13,896.43,856.79,2816.89,0,-100,-708.33,32.48,11433.24,137198.93,168.06
a3i3p0s0t1,3,3,0,0,1,VA,2021,26,Chesterfield County,2001.09,3295.36,1277.23,576.13,916.87,806.67,2511.21,0,-100,-708.33,30.05,10576.23,126914.71,159.56
a3i2p2s0t0,3,2,2,0,0,VA,2021,26,Chesterfield County,2001.09,4222.97,1196.51,576.13,862.86,885.96,2992.96,0,-100,-708.33,33.89,11930.15,143161.75,172.99
a3i2p1s1t0,3,2,1,1,0,VA,2021,26,Chesterfield County,2001.09,3753.14,1261.66,576.13,885.05,847.71,2761.57,0,-100,-708.33,32.04,11278.01,135336.12,166.52
a3i2p1s0t1,3,2,1,0,1,VA,2021,26,Chesterfield County,2001.09,3209.94,1283.2,576.13,905.48,797.58,2455.9,0,-100,-708.33,29.61,10420.99,125051.9,158.01
a3i2p0s2t0,3,2,0,2,0,VA,2021,26,Chesterfield County,2001.09,3283.31,1326.81,576.13,907.23,809.46,2530.18,0,-100,-708.33,30.19,10625.87,127510.5,160.05
a3i2p0s1t1,3,2,0,1,1,VA,2021,26,Chesterfield County,2001.09,2740.11,1348.35,576.13,927.67,759.33,2224.51,0,-100,-708.33,27.75,9768.86,117226.27,151.54
a3i2p0s0t2,3,2,0,0,2,VA,2021,26,Chesterfield County,2001.09,2196.91,1369.89,576.13,948.1,709.21,1918.83,0,-100,-708.33,25.32,8911.84,106942.05,143.03
a3i1p3s0t0,3,1,3,0,0,VA,2021,26,Chesterfield County,2001.09,4137.54,1202.48,576.13,851.48,876.87,2937.65,0,-100,-708.33,33.45,11774.91,141298.94,171.45
a3i1p2s1t0,3,1,2,1,0,VA,2021,26,Chesterfield County,2001.09,3667.71,1267.63,576.13,873.66,838.62,2706.26,0,-100,-708.33,31.6,11122.78,133473.32,164.98
a3i1p2s0t1,3,1,2,0,1,VA,2021,26,Chesterfield County,2001.09,3124.51,1289.17,576.13,894.1,788.5,2400.58,0,-100,-708.33,29.16,10265.76,123189.09,156.47
a3i1p1s2t0,3,1,1,2,0,VA,2021,26,Chesterfield County,2001.09,3197.88,1332.78,576.13,895.85,800.37,2474.87,0,-100,-708.33,29.75,10470.64,125647.69,158.51
a3i1p1s1t1,3,1,1,1,1,VA,2021,26,Chesterfield County,2001.09,2654.68,1354.32,576.13,916.28,750.25,2169.19,0,-100,-708.33,27.31,9613.62,115363.46,150
a3i1p1s0t2,3,1,1,0,2,VA,2021,26,Chesterfield County,2001.09,2111.48,1375.87,576.13,936.72,700.13,1875.47,0,-100,-708.33,24.91,8768.56,105222.78,141.41
a3i1p0s3t0,3,1,0,3,0,VA,2021,26,Chesterfield County,2001.09,2728.06,1397.93,576.13,918.03,762.12,2243.48,0,-100,-708.33,27.89,9818.5,117822.06,152.03
a3i1p0s2t1,3,1,0,2,1,VA,2021,26,Chesterfield County,2001.09,2184.86,1419.47,576.13,938.47,712,1937.8,0,-100,-708.33,25.46,8961.49,107537.84,143.53
a3i1p0s1t2,3,1,0,1,2,VA,2021,26,Chesterfield County,2001.09,1641.66,1441.01,576.13,958.9,661.88,1731.5,0,-100,-708.33,23.31,8203.85,98446.16,134.35
a3i1p0s0t3,3,1,0,0,3,VA,2021,26,Chesterfield County,2001.09,1098.45,1462.56,576.13,979.34,611.76,1540.71,0,-100,-708.33,21.2,7461.71,89540.52,108.31
a3i0p4s0t0,3,0,4,0,0,VA,2021,26,Chesterfield County,2001.09,4052.11,1208.46,576.13,840.1,867.79,2882.33,0,-100,-708.33,33.01,11619.68,139436.14,169.91
a3i0p3s1t0,3,0,3,1,0,VA,2021,26,Chesterfield County,2001.09,3582.29,1273.61,576.13,862.28,829.54,2650.94,0,-100,-708.33,31.16,10967.54,131610.51,163.44
a3i0p3s0t1,3,0,3,0,1,VA,2021,26,Chesterfield County,2001.09,3039.08,1295.15,576.13,882.72,779.42,2345.26,0,-100,-708.33,28.72,10110.52,121326.28,154.93
a3i0p2s2t0,3,0,2,2,0,VA,2021,26,Chesterfield County,2001.09,3112.46,1338.75,576.13,884.46,791.29,2419.55,0,-100,-708.33,29.31,10315.41,123784.88,156.97
a3i0p2s1t1,3,0,2,1,1,VA,2021,26,Chesterfield County,2001.09,2569.26,1360.3,576.13,904.9,741.17,2113.87,0,-100,-708.33,26.87,9458.39,113500.66,148.46
a3i0p2s0t2,3,0,2,0,2,VA,2021,26,Chesterfield County,2001.09,2026.06,1381.84,576.13,925.34,691.05,1840.97,0,-100,-708.33,24.53,8634.14,103609.67,139.73
a3i0p1s3t0,3,0,1,3,0,VA,2021,26,Chesterfield County,2001.09,2642.63,1403.9,576.13,906.65,753.04,2188.16,0,-100,-708.33,27.45,9663.27,115959.25,150.49
a3i0p1s2t1,3,0,1,2,1,VA,2021,26,Chesterfield County,2001.09,2099.43,1425.44,576.13,927.08,702.92,1887.79,0,-100,-708.33,25.03,8811.56,105738.7,141.95
a3i0p1s1t2,3,0,1,1,2,VA,2021,26,Chesterfield County,2001.09,1556.23,1446.99,576.13,947.52,652.8,1696.99,0,-100,-708.33,22.92,8069.42,96833.06,132.67
a3i0p1s0t3,3,0,1,0,3,VA,2021,26,Chesterfield County,2001.09,1013.03,1468.53,576.13,967.96,602.67,1506.2,0,-100,-708.33,20.82,7327.28,87927.42,106.85
a3i0p0s4t0,3,0,0,4,0,VA,2021,26,Chesterfield County,2001.09,2172.8,1469.05,576.13,928.83,714.79,1956.77,0,-100,-708.33,25.6,9011.14,108133.62,144.02
a3i0p0s3t1,3,0,0,3,1,VA,2021,26,Chesterfield County,2001.09,1629.6,1490.59,576.13,949.27,664.67,1743.82,0,-100,-708.33,23.43,8246.84,98962.08,134.89
a3i0p0s2t2,3,0,0,2,2,VA,2021,26,Chesterfield County,2001.09,1086.4,1512.14,576.13,969.71,614.55,1553.02,0,-100,-708.33,21.32,7504.7,90056.44,108.77
a3i0p0s1t3,3,0,0,1,3,VA,2021,26,Chesterfield County,2001.09,543.2,1533.68,576.13,990.14,564.42,1362.23,0,-100,-708.33,19.21,6762.57,81150.8,100.74
a3i0p0s0t4,3,0,0,0,4,VA,2021,26,Chesterfield County,2001.09,0,1555.22,567.68,1010.58,513.46,1240.79,0,0,-708.33,17.56,6180.5,74165.95,91.57
a3i5p0s0t0,3,5,0,0,0,VA,2021,26,Chesterfield County,2301.26,5492.27,1313.31,576.13,915.16,1059.81,3962.44,0,-100,-875,41.61,14645.38,175744.56,218.09
a3i4p1s0t0,3,4,1,0,0,VA,2021,26,Chesterfield County,2301.26,5406.85,1319.28,576.13,903.78,1050.73,3907.12,0,-100,-875,41.17,14490.15,173881.75,215.51
a3i4p0s1t0,3,4,0,1,0,VA,2021,26,Chesterfield County,2301.26,4937.02,1384.43,576.13,925.96,1012.48,3675.74,0,-100,-875,39.31,13838.01,166056.12,204.65
a3i4p0s0t1,3,4,0,0,1,VA,2021,26,Chesterfield County,2301.26,4393.82,1405.97,576.13,946.4,962.36,3370.06,0,-100,-875,36.88,12980.99,155771.9,190.39
a3i3p2s0t0,3,3,2,0,0,VA,2021,26,Chesterfield County,2301.26,5321.42,1325.25,576.13,892.4,1041.65,3851.81,0,-100,-875,40.72,14334.91,172018.94,212.92
a3i3p1s1t0,3,3,1,1,0,VA,2021,26,Chesterfield County,2301.26,4851.59,1390.4,576.13,914.58,1003.4,3620.42,0,-100,-875,38.87,13682.78,164193.31,202.07
a3i3p1s0t1,3,3,1,0,1,VA,2021,26,Chesterfield County,2301.26,4308.39,1411.94,576.13,935.02,953.27,3314.74,0,-100,-875,36.44,12825.76,153909.09,187.81
a3i3p0s2t0,3,3,0,2,0,VA,2021,26,Chesterfield County,2301.26,4381.77,1455.55,576.13,936.76,965.15,3389.03,0,-100,-875,37.02,13030.64,156367.68,191.22
a3i3p0s1t1,3,3,0,1,1,VA,2021,26,Chesterfield County,2301.26,3838.56,1477.09,576.13,957.2,915.02,3083.35,0,-100,-875,34.58,12173.62,146083.46,179.82
